Gene,GeneID,alphaTC,3T3,MDCT,AML12,B16F10,BW51473,C8D1A,EML6,LL2,N1E115,NE_4C,J774A,EML
Map2k3,ENSMUSG00000018932.9,23.682,82.2205,53.7387,64.7534,68.6377,77.1382,49.5835,112.614,83.3135,35.1083,15.6833,39.3375,112.614
Map2k4,ENSMUSG00000033352.11,19.2112,34.4354,39.9539,45.4776,41.0788,20.2764,30.0713,34.8067,32.9561,21.2354,25.5857,24.0176,34.8067
Map2k5,ENSMUSG00000058444.8,11.8949,19.4575,24.513,17.5132,18.6658,23.5184,24.8994,27.4513,22.5446,8.48608,27.7477,21.8601,27.4513
Map2k6,ENSMUSG00000020623.11,0,5.17898,6.93115,9.14635,3.58022,5.92212,4.06114,0,8.16537,0,20.0353,1.36616,0
Map2k7,ENSMUSG00000002948.19,43.6078,35.5173,55.165,19.2399,20.0274,34.5617,15.6752,32.7107,24.8109,33.7369,21.8873,24.7102,32.7107
Map3k1,ENSMUSG00000021754.17,7.00088,1.59312,9.98724,5.53343,3.66551,14.2837,2.17147,8.63675,6.11384,4.15389,5.11297,14.7327,8.63675
Map3k10,ENSMUSG00000040390.13,16.8488,16.2402,11.9838,6.15122,16.1117,9.36989,12.1299,6.97834,11.1816,13.2865,5.99459,11.8887,6.97834
Map3k11,ENSMUSG00000004054.9,11.0757,3.76388,18.8158,18.8447,14.6835,4.7542,15.514,11.6893,3.73319,3.45513,7.45415,12.9322,11.6893
Map3k12,ENSMUSG00000023050.9,16.8611,16.9778,24.3078,3.20661,6.79291,0.916689,8.106,1.56222,14.0232,18.2164,12.503,7.38322,1.56222
Map3k13,ENSMUSG00000033618.7,1.68746,0.973386,0.808331,0.804381,1.7464,2.2015,1.05976,0.149116,1.46847,2.407,1.56482,0.276291,0.149116
Map3k14,ENSMUSG00000020941.7,2.82209,15.9265,11.9256,3.51151,1.87975,3.33845,1.97891,2.21345,4.72723,1.62985,1.0489,7.93643,2.21345
Map3k15,ENSMUSG00000031303.8,111.448,0.394701,1.60355,0,14.1852,1.18016,0.016495,0.078353,0.928623,0.194126,16.9641,13.3902,0.078353
Map3k19,ENSMUSG00000051590.10,0,0,0,0,0,0.119481,0,0.668751,0,0,0,0,0.668751
Map3k2,ENSMUSG00000024383.9,10.0943,6.83828,8.80965,13.537,3.17067,5.04383,8.13931,4.71114,7.90485,6.04604,3.44096,4.35882,4.71114
Map3k20,ENSMUSG00000004085.14,13.7018,9.28644,33.7777,34.4977,26.3344,0.081026,10.0096,20.9223,24.6378,0.062789,1.69608,64.324,20.9223
Map3k21,ENSMUSG00000031853.5,0.339396,0,0.853715,0,0,0,0,0,0,0.03658,0.686617,0,0
Map3k3,ENSMUSG00000020700.11,29.8332,37.0507,37.0601,15.7991,28.6591,22.2872,28.846,31.5036,38.5528,29.0205,26.8119,41.4059,31.5036
Map3k4,ENSMUSG00000014426.9,17.3075,9.38768,20.6577,8.22171,16.4351,14.017,14.7233,11.8811,16.3239,20.6923,47.6365,12.6801,11.8811
